,Date,Overall_Rating,Cabin,Review,Recommended,ValueForMoney,Seat_Space,Cust_Serv,Entertainment,Food_Drink
0,"December 1, 2017",8/10,Economy Class,"The flight booking through my agent was a breeze and at a reasonable price. I just flew, November 27th, from Adelaide to Belgrade through Doha without any problems. The flying felt safe at all times in an A350 for the first leg and an A321 for the second leg. The flight crew were very attentive, polite, obliging to requests, and efficient. There were no problems with the baggage. The planes were clean although the seats were a little on the squeeze side in the economy section. The only critique could be directed towards the quality of food: it did not look inviting nor it tasted pleasantly, an area that would require quite a considerable improvement. On the brighter side, there was more than enough food on offer and frequently so. The entertainment was of satisfactory quality with a wide range of choices. I flew with Qatar before and always found it worth speaking well of. I will be having the return flight in a few months time and will voice myself again then.",Yes,4,2,5,4,4
1,"November 27, 2017",2/10,Economy Class,"I would not recommend Qatar Airways to any Australian travelling internationally. Their customer service team couldn’t care less about the well-being of Australians. After missing a connecting flight in Doha from Melbourne by 10 minutes, I was forced to stay in Doha overnight, and subsequently arrived 28 hours late to my destination. I was told by every single flight attendant and the Melbourne ground staff that we would arrive on time, and that the DOH->SKP flight would be delayed for us so “I have nothing to worry about”. If they had just been honest and told me that it will be late, I could have told my partner to cancel and we would have gotten our money back. However, as a result we lost over $400 AUD in money. I absolutely DO NOT recommend flying with Qatar Airways to any Australian. When things go wrong, as they often do (just have a read online of all the complaints) they have the worst customer service I have ever witnessed in my life. I am scarred by this experience and hope that once I am back in Melbourne I never have to fly with Qatar Airways ever again. I think that Qatar Airways should be absolutely ashamed of the service, stress and trauma you have caused me. So please, save yourself the stress – Fly Etihad or Emirates, DO NOT FLY WITH QATAR!",No,3,3,1,3,3
2,"October 17, 2017",10/10,Economy Class,Flight from QATAR to MEDINAH was very great…………..the only thing was that while going to Medinah there was no IFE.,Yes,4,5,5,5,5
3,"October 4, 2017",10/10,Economy Class,"Flew Economy NZ to Dublin through Doha. Asked at Doha airport for an upgrade on return flight and got it. In respect to ground/cabin crew first class treatment at all times. Liquids/food seemed to flow endlessly on this longest haul flights, the food was all yummy. In flight entertainment was awesome I was able to watch all of the Big, Little Eyes series. My partner and I requested emergency exit seats on all flights, we secured these and were not charged extra. We paid for access to business lounge at Doha and had an awesome shower. Highly recommend this airline and will fly with them again next year.",Yes,5,5,5,5,5
4,"September 30, 2017",1/10,Economy Class,"Our flight from Sydney to Madrid was delayed by 9 hours. We were not informed until we arrived to check in. Stood in line for 3 hours only to be turned away. No explanation or apology. Just a complete absence of any communication. Returned 9 hours later at 3:30am, stood in check-in line for another 2 hours. Had to spend $480 on taxi fares. Arrived in Doha, delay meant we missed our connecting flight so we had to spend a day in Qatar. Waited in line for another hour while accommodation was arranged (couldn’t this have been done while we were in the air? Didn’t they know this would need to be organised?) Qatar put us up in the Best Western. This hotel at $60AUD per night is nightmarish slum. Told by guards not to leave the hotel. Finally arrive in Madrid 52 hours after leaving Sydney. I wanted my expenses to be reimbursed ie. Taxi fares and missed hotel accommodation in Madrid. Called Qatar’s customer help line. On hold for 40 minutes then hung up on. Twice. I’ve tried emailing too. Nope. No reply.",No,1,4,1,5,5
5,"August 16, 2017",3/10,Economy,"Absolutely appalling customer care and refusal to compensate!! Qatar Airways used to be a great airline with exemplary standards and customer service, my last few experiences have not reflected this. The latest debacle involved the airline cancelling our flight only 9 days before departure. When trying to claim compensation as is my ‘guaranteed’ right by law under EU Regulation EC 261/2004, the customer care officer, Nabeel simply refused. I am needless to say never going to use this airline again and taking them to the Civil Aviation Authority to acquire my compensation!",No,1,3,2,0,0
6,"August 16, 2017",1/10,Economy,"This is my first time booking with Qatar Airways & it will be my last. I have yet to board my flight but have already endured multiple frustrations. Less than a month before my flight I logged onto my booking to reserve my seat. However, to my surprise there was a notice saying my flight had been changed – to a different day. I understand that times can change however I did not receive one email or notification that my flight had been switched. If I hadn’t randomly checked my booking I would’ve missed my flight entirely. I have emailed customer service multiple times regarding this saying that I will not be in the departure city on the new departure day and will need alternative options. All I received was an apology and a statement telling me to contact my local customer support. I have called my local branch five times of which I have been put on hold for over 20 mins each time.  I have sent more emails to customer service and still waiting on a reply. It has gotten to the point where I am leaving in 2 weeks and had to adjust all my other plans resulting in high costs. Qatar Airways is terrible in terms of communication with their customers.",No,1,0,0,0,0
7,"August 16, 2017",9/10,Economy,Comparing other flights(etihad and emirates) Qatar airlines doing better job than any other airlines. The beauty of this flight  is “on time” and also passenger can select their seat when they book this flight. I really like this flight.,Yes,4,4,4,4,4
8,"August 16, 2017",3/10,Economy,"they have lied to us, every Qatar airlines office have their own rules, everyone gives a different story, we ended up losing 32 hours of time which was filled with stress and fear,  I am writing this review, at the same time I am afraid they will do some harm to us in the future",No,2,3,1,3,3
9,"August 16, 2017",1/10,Economy,"After 7 hours of flight and an hour of delay, with Qatar Airways, they informed the customers that connection flight was over booked and that they had to wait 5 hours until the next flight. So the total time of flying and waiting until their final destination would be 18 hours! Considering also that the next flight was 3000 Kms!",No,1,3,2,3,3
10,"August 16, 2017",10/10,Business,"I am delighted that this airline is now flying out of Adelaide. My experience was that it is the best airline I have flown on for some years. Good, new planes, charming staff & very good food. Lounges in London & Doha good, especially the latter. Certainly my airline of choice for my next trip.",Yes,5,5,5,4,4
11,"July 22, 2017",7/10,Economy,"We travelled from Perth to London through Doha. Two of the four flights were an hour late, the others were late but just a few minutes. As we were travelling as a family group we had pre-booked the seats two months before the flights. When it come to check-in the pre-booked seats were ignored. We did not sit in our pre-booked seats on any flight. In one flight the family group were completely separated with individual seats in different zones. When we complained Qatar explained they had a different aircraft so seats were reassigned. No consideration for families or groups.",No,3,3,2,4,4
12,"July 22, 2017",4/10,Economy,Obstacle in the leg space with the broad seat support; no Usb charging slot for seats; ticket charges too pricey for services to india; unreliable websitr for cancellations; too poor customer complaint redressal .,No,1,2,3,3,3
13,"July 11, 2017",5/10,Economy,Had myself the worst experience with this airline. My seat wasn’t cleaned properly from previous passenger threw up. Not enough food and drinks.,No,4,2,1,2,2
14,"July 7, 2017",10/10,Economy,"
Difficult to cancel and re schedule a booking, call Center in India are very unhelpful.",Yes,5,5,5,5,5
15,"June 28, 2017",8/10,Economy,"On June 26  2017. I went to see my sister off to Kenya. The check in was a nightmare. There was a black girl and I am 100 % she is Hatian. She looked angry and she treated and talked to us like shit. My sisters carry on was 1 pound heavier( as she says) coz the we weight the luggage before we joined the line and it was 8 pounds. She yelled @ us and made us remove some clothing items. I did not have a problem removing the items, but it’s the way she said it.",Yes,4,4,4,4,4
16,"June 25, 2017",10/10,Economy,"
I am hoping it’s just us that she did that to, coz if she’s always that way, then it’s very concerning",Yes,5,5,5,5,5
17,"June 24, 2017",9/10,Economy,"I was so impressed with this airline, put in a special request for my grandson who has Aspergers and it was done for me with no trouble. I suffer with a lung condition and needed oxygen and the help I recieved from the staff was impeccable. I will be using your airline again next year and have recommended you to all  I know who travel. Thank you again for a wonderful experience. Faye Phillips",Yes,5,4,4,5,5
18,"June 13, 2017",3/10,Economy,excellent service – at check in i asked for extra legroom and was accommodated without any fuss,No,1,1,1,1,1
19,"June 10, 2017",6/10,Premium Economy,"Horrible airlines, they checked baggage and carry-ons twice! They had no options other than to eat Beef, since then ran out of chicken when still 30% off the passengers left to feed. They had no options for the beer, no wine at all due to Ramadan, they strip checked (pat downs) only the bachelors on suspicion (random), they did not check the families with children although they have chances of carrying dangerous goods or drugs in their children carry-ons. The airhostesses were not really friendly, they served cold drinks quietly, they did not wake up the passengers who were fast asleep when the food arrived, they had no sweetener such as splenda,. Air hostesses looked as if they are forced to do a job. The flights from IAH to DOH was old, dusty. The flat screens were very old, malfunctioning, touch screen was not working, seats were not reclining well. Too much to complain… not worth it at all. We flew Qatar airlines for the first time in 25 years. One of the worst airlines in the world. We tried almost all airlines in 25 years but our experience with Qatar airlines was the worst. DOH to BOM was slightly better due to new aircraft and better quality of food.",Yes,4,4,4,4,4
20,"June 9, 2017",10/10,Business,"travelled from Perth to Doha then onto Copenhagen. First time with Qatar and was a bit concerned after reading so many negative reviews but I thought the whole experience was amazing. Comfortable aircraft, great food and the most attentive flight attendants one could ask for. Will happily fly with Qatar again.",Yes,3,5,5,5,5
21,"June 2, 2017",10/10,Economy,"The flight from Auckland to Doha was absolutely fantastic, we have never experienced such service and we were in Economy. We were treated to plenty of meals and drinks during this flight which kepted us hydrated throughout this leg of our journey. Doha to Scotland, the service continued and we felt refreshed when we landed. We fly with Qatar back to Auckland NZ after our U.K. Tour and we know we will be in good hands. Qatar flight Attendants are professional and speak English as well as other languages they are extremely helpful, the meals are tasty and there is a good selection to choose from the menu, there is a good range of beverages to choose. There is plenty of entertainment to choose should you wish it. To the Captain and cabin crew the whole flight including taking off and landing was smooth and we were kept up dated throughout the flights. Qatar airways, you are simply the best of the best, thank you.",Yes,5,4,5,5,5
22,"June 2, 2017",2/10,Economy,"This was my first flight with Qatar and I would recommend all Australian passengers look elsewhere. While the 5 hour leg from Doha to Vienna was in a modern Dreamliner, the 13.5 hour trip from Melbourne to Doha was in a small and cramped B777. These seats were the least comfortable airline seats I have ever endured, hard and cramped.",No,2,1,3,3,3
23,"June 2, 2017",2/10,Business,"
Once I arrived at Doha the wait at security was 45mins, as only 4 scanners were open, and 5 flights landed at once. The delay here caused much tension for connections.",No,2,4,1,4,4
24,"May 29, 2017",1/10,Economy,"
The return flights started badly, with the flight from Vienna (on a Dreamliner) moved forward by 1.5 hours, with no notice. This reduced the time I could spend saying goodbye to my family, while increasing the wait at Doha, a very dull and overpriced airport. When we were finally ready for the Melbourne leg, another cramped B777 appeared.",No,3,3,1,4,4
25,"May 24, 2017",1/10,Economy,"Awful, will never fly with this company again. On my flight there was 20 people trying to get back to LHR. After a 10 hour delay in Doha. Not covered by European flight delay  compensation, so they made no effort with passengers.  I would walk before l fly with this airline again. Which with delays might be quicker.",No,1,1,1,3,3
26,"May 24, 2017",1/10,Economy,"After being a Qatar Privilege member for over 10 years, l was shocked and utterly disgusted at the treatment on flying from Sri Lanka to Manchester. We stood at the gate trying to board our flight but refused as they had off loaded us as our cases wouldnt make it in time. Who cares when your facing  a 12 hour delay in Doha.  Made worse as we were treated abysmally by the staff at the airport and the hotel they stuck us in was vile. Dirty toilet, used sanitary towel in bin and whole room smelt of damp as water dripped off AC unit.  No food was left as restaurant closed 5 mins after we arrived and it was buffet style. Just when you tried to sleep the thump thump of the disco started.  Had to sit around for another 3 hours at airport as transferred flight also delayed, both departing Doha and arriving in Manchester. When l contacted CS for compensation for time and extra parking and pet board. Told claim on your travel insurance. LOST A CUSTOMER FOR LIFE.",No,1,1,1,1,1
27,"May 22, 2017",5/10,Economy,"My first flight was delayed, so I missed my connection and had to stay at the Doha airport for 7 hours during the night. The only compensation was a  fixed dinner.",No,3,3,3,1,1
28,"May 20, 2017",4/10,Economy,"
My flight back home was 5-hour flight, the aircraft was old, nor equipped with individual entertainment. There was some screens playing a movie, but the sound was not working. I asked for two items from the in-flight shop and both were “not entitled for this flight”, furthermore it took one hour for the crew to tell me this.",No,3,4,1,4,4
29,"May 14, 2017",9/10,Economy,"
The food provided is very nice.",Yes,4,3,5,4,4
30,"May 9, 2017",10/10,Economy,"I travelled to Stockholm recently. I went to Stockholm with my family. I chose to travel through Qatar airways though I wasn’t very sure whether it would be good as I travelled through Kuwait airways last year to get to the United States.And  I didn’t like it at all so was not very keen to take another Middle East Asian Airlines. But I was totally wrong. The flight was on time, the inflight entertainment worked. I did not also have any problems with the check in and hand baggage. They weren’t at all finicky and did not have a problem with a 1-2 extra kilos in check in baggage.The staff were extremely kind and helpful.Food was good. There was a huge selection of movies to watch and choose from. There were games and songs and tv for kids. It was awesome . They made my journey quite relaxing and made my money totally worth it. I would definitely recommend it.",Yes,5,4,5,5,5
31,"May 8, 2017",1/10,Economy,"I always use qatar airways from Riyadh to jomokenyatta, but this March ticket why was it return ticket be 2000 riyals……can someone tell me.",Yes,1,4,4,4,4
32,"May 7, 2017",9/10,Economy,"Qatar airways was a great experience it had more ups the downs, but overall it was really good. The seats were comfortable the service was excellent, but unfortunately the food was not really appetizing to eat. We asked for pancakes and we got sloppy,soupy stuff.",Yes,4,5,5,5,5
33,"May 6, 2017",10/10,Economy,"On April 26th I flew 2 legs with Qatar: Belgrade to Doha and Doha to Adelaide. I feel compelled to say a few words regarding my experience with this airline. Starting with the checking in, security controls and boarding my impressions were very satisfying as everything went smoothly and efficiently at both airports. The crew were welcoming, smiling, courteous and helpful. The seating was comfortable enough in the A320 for the first leg of the trip, but more so and completely satisfying in the A350 during the second leg. The entertaining was of sufficient quality for my needs because I was immersed in my own private activities – reading, writing, photographing. etc… The main meals were served at appropriate lapses of time in sufficient, if not ample, quantities with snacks and drinks available for the asking in between their own frequent offering. The quality was very good and inviting upon looking at them (meals). The cabin crew were efficient in clearing the trays and the plane in general. My aisle stewardess was particularly amiable not reprimanding me for calling her unwittingly by carelessly pressing the call button TWICE, what a good lady. The flying was faultless, comforts",Yes,5,5,5,5,5
34,"May 2, 2017",10/10,Economy,"Having  never flown with Qatar before, we were pleasantly surprised how good it was.The service was fantastic,they never stopped feeding us,drinks were brought round  regularly. The Staff were very polite and nothing was to much trouble for them.I wouldn’t think twice about travelling with them again. Enjoyed the movie selection on board,and the music was ok. My only criticism is with fellow passengers leaving there seating area in such a mess,couldn’t believe it. There were plenty of toilets on board,for such a long flight,they were clean . really enjoyed this experience both ways,thankyou Qatar Airways.",Yes,5,4,5,5,5
35,"May 2, 2017",10/10,Economy,"Having  never flown with Qatar before, we were pleasantly surprised how good it was.The service was fantastic,they never stopped feeding us,drinks were brought round  regularly. The Staff were very polite and nothing was to much trouble for them.I wouldn’t think twice about travelling with them again. Enjoyed the movie selection on board,and the music was ok. My only criticism is with fellow passengers leaving there seating area in such a mess,couldn’t believe it. There were plenty of toilets on board,for such a long flight,they were clean . really enjoyed this experience both ways,thankyou Qatar Airways.",Yes,5,4,5,5,5
36,"April 26, 2017",9/10,Business,"What a wonderful experience, in business Class. I cannot wait until the new large seats are installed in business Class, they will provide much more privacy.",Yes,5,4,5,4,4
37,"April 26, 2017",1/10,Economy,Doha to Melbourne B777 seats just too small. I am 75kgs and neighbour is about 90kgs. The seating was uncomfortably narrow. The male in the seat behind is about 100kgs and could not get comfortable. He tried to sleep in the aisle at one stage.,No,1,1,3,4,4
38,"April 18, 2017",10/10,Economy,"
The food was awful. Lucky I take muesli bars.",Yes,5,5,5,5,5
39,"April 17, 2017",10/10,Business,"
I have had excessive jet lag for the last 2 days after probably the worst 13.5hour flight ever. I will be avoiding this airline in future.",Yes,5,5,5,4,4
40,"April 14, 2017",1/10,Business,The seats in Business class are terrible. ALL of the seats in the Business class lounge in Doha are uncomfortable. And the food on my flight from Doha to Adelaide was tough and uneatible.,No,3,1,3,3,3
41,"April 13, 2017",10/10,Economy,I flew from MEL – LHR – BKK on 29th November 2016 and 29th December 2016. I flew mainly on the Boeing 777 with a chance to try their new Airbus 350. I will firstly  like to praise the airline and the staff members for such a fantastic experience and great customer service. With my background coming from a Cabin Crew position I would highly recommend the airline and even fly for them as crew.,Yes,5,5,5,5,5
42,"April 7, 2017",9/10,Economy,"
The food was tasty and had several snacks to keep you from going hungry (my partner got extra snacks for asking).",Yes,4,4,4,4,4
43,"April 1, 2017",9/10,Economy,"
The legroom was fantastic to say a male of 6ft and above had enough room to get comfy through the flight.",Yes,4,4,4,5,5
44,"March 29, 2017",10/10,Business,"
The IFE was so up to date and plenty to choose from which helped pass the time when you’ve had too much sleep.",Yes,5,5,3,5,5
45,"March 17, 2017",8/10,Economy,"Escaping from the tail end of a tour, I was stuck in Doha airport with no cash – for over 12 hours.  I was stressed and upset.  Linda W, the staff member from Qatar Airline (employee Number 64668) a lovely young woman, helped me immeasurably.  She helped me secure space in the business lounge and change money for things I may need. She walked me where I needed to go and made sure I was ok before she left.  Without her help I was a mess! Thank you Linda. Thank you Qatar Airlines.",Yes,4,4,5,4,4
46,"March 1, 2017",10/10,Economy,"I feel compelled to write a review on my experiences with Qatar Airways, after reading mainly negative reviews.",Yes,5,4,5,3,3
47,"February 19, 2017",10/10,Economy,"
I travelled from Melbourne to London Heathrow on 25 Feb 2017.",Yes,5,4,5,5,5
48,"February 15, 2017",5/10,Economy,"
Positives. Excellent polite cabin staff,clean cabin,I requested an aisle seat (18C) with extra leg room, and the check in lady was polite and very helpful.",No,0,0,1,4,4
49,"February 14, 2017",7/10,Economy,"
Quick turnaround in Doha, (Easier to navigate than Dubai)",Yes,5,3,5,5,5
50,"February 7, 2017",9/10,Economy,"Unlike many reviewers comments, we had a very positive experience with Qatar Airways in Jan.  2017, Montreal to Doha to Abu Dhabi, return from Singapore to Doha to Montreal. Returning from Doha to Montreal, 13 hours flight, we had lot of leg room, however, we were starved. The entertainment was enough to keep me occupied, but could be improved.",Yes,4,5,5,3,3
51,"February 6, 2017",4/10,Economy,"The best part of the travelling with Qatar Airways was the smooth approaching and landing. As frequent travellers, we often encounter bumpy landings which make one wonders the competency of the pilots.",No,2,3,3,3,3
52,"January 25, 2017",5/10,Economy,"From Doha to Montreal, the attendants were very kind and caring. Many of them came to see how my husband was doing when my husband was fainting. Thank you all!",No,3,3,2,2,2
53,"January 24, 2017",5/10,Economy,Poor service. two days after arrival and still waiting for my luggage to arrive…,Yes,4,3,5,4,4
54,"January 13, 2017",1/10,Economy,"Travelled from Adelaide,Dohar, Do ha r to New York.  Very average airline, staff not friendly and toilets not kept clean on long flight.  Ran out of choices for food.  Emrites by far compared to Qatar.",No,1,2,2,2,2
55,"January 10, 2017",4/10,Economy,"We have just returned from London and Doha (departing ex SYD on 26 Dec and returning 9 Jan) with Qatar and generally the whole experience has been disappointing. I fly a lot with work and appreciate we flew at a busy time but we only had 1/4 flights that were enjoyable and that was the 777 from Doha to London where the seats were roomier and the crew great. The other 3 flights on the A380 were very average and the flight to Sydney appalling. Crammed, messy, appeared not to be enough toilets that were not maintained and the most indifferent hostie I’ve ever seen who couldn’t even smile and getting a coffee or a drink of anything was like pulling teeth. and all our experiences with checkin and ground staff slow. The only positive was that Doha airport is impressive  and we loved our time in Doha but that is unrelated to the airline. I know that the airlines business class gets the award for the best … but the rest leaves a lot to be desired. We were very much looking forward to flying with Qatar so outcome disappointing.",No,3,3,3,4,4
56,"January 9, 2017",1/10,Economy,"Worst airways ever, delayed and they were totally out of control to manage the transfers of passengers, had to wait more than 3 hours in line to get my boarding pass for the next flight which was 17 hours later and they couldn’t even provide any other options, zero flexibility.  This is never happened to me  at any other airlines. No way to fly by this airways again.",No,2,2,3,3,3
57,"January 8, 2017",1/10,Economy,"Definitely not 5*, food terrible, even ran out for members of our group on a meal and was offered a sweet! Service extremely poor, not offered enough drinks and children in the party needed more fluids. 0ne hostess was rude and abrupt, and wonder why she does the job if she does not want to provide service to passengers. Will be taking own food on return flights, but would not use this airline again.",No,1,1,1,3,3
58,"January 7, 2017",1/10,Economy,"Very poor service , seats poor quality with hardly any leg room. It seems the airline has included more rows of seats and even the  aisle is more narrow. There is only one flight attendant serving a meal instead of two and it takes twice as long to get food and to clear up. Forget about asking for extra drinks.I heard great things about this airline but was very disappointed. Never fly with them again.",No,1,1,1,3,3
59,"December 23, 2016",1/10,Economy,EDITORS COMMENT: They do have one flight attendant do everything but they still have the same 6 or 8 serving at a time – its just that they are spread more evenly throughout the cabin which means the people at the back of each section don’t have to wait nearly as long as they would normally and those in the front or middle will need to wait a a bit longer. Basically it evens up the waiting time for everyone a bit more. Qatar have moved to 10 abreast seating on the 777 in economy so it is tighter than perhaps when you last flew and it was only 9 seats across.,No,1,1,1,0,0
60,"December 18, 2016",9/10,Economy,"it is first my my flight with Qatar, the airplane fully loaded with passenger after GP Sepang in October 30, 2016. New aircraft-787 Dreamliner. But AVOD malfunction. I has request to FA to repair/fixed this problem, but not solved until landing at Doha airport, 7 hours later. Maybe she very busy to service hundreds passenger.",Yes,4,4,4,5,5
61,"December 17, 2016",5/10,Economy,"
after one week, i fly back with 777 from Doha to KLIA, and AVOD is OK, awesome Oryx Entertainment. Free flow drink. friendly FA",Yes,3,2,5,1,1
62,"December 9, 2016",3/10,Economy,"My husband and I and family friends were retiring back to London from Sri Lanka via Doha yesterday ( 16th Dec 2016 ) flew on flight number QR665 Sri Lanka to Doha… while the seats being cramped and the seat cushions seemed more than flat and worn despite the aircraft being still quite relatively new we could feel the poles and the seat plank ..I had most of the journey the passenger in front almost sleeping in my lap most of the journey..!! The only and only highlight that made my journey worth while was the wonderful crew .. I would like to give a special mention to all of them by their names.. Ghazala, Malika, Younghwa, Jennifer and the wonderful young man Bobo ..I was called by surprise to the galley and there was a plate beautifully decorated with fruit and cake… and we had our pictures taken which I will cherish forever..this crew made me smile when I was feeling really down esp when I am suffering with a semi paralysis of my face caused by Bell’s Palsy..",No,2,1,2,2,2
63,"December 5, 2016",1/10,Economy,"
Qatar Air all I can say at this point of my life is PLEASE take good care of your staff they are the spine and backbone that holds your company together today improve the air craft the rest will all fall into place.",No,2,3,2,4,4
64,"December 4, 2016",6/10,Economy,Took flight 82 from Berlin to Doha.  After checking in baggage their check in staff were again at passport control flanking passengers to again scrutinise baggage asking us to wear winter coats which were in a plastic bag.  Very petty.  Leg room in economy was woeful.  Cabin staff could barely smile or communicate.  No notice given of late snack.  They just flitted by whilst most were asleep with bags of potstoe chips.  Far short of s 5 star airline and just doesn’t compete with Emirates and Singapore Air.  Lucky if you get a decent glass of wine from their trolley.,No,2,2,4,1,1
65,"December 2, 2016",8/10,Business,Travelled with Qatar to Miami return perth. On board service great from cabin crew. Trouble free entry to doha through business class lounge  at airport.On screen  entertainment poor.Food selection good this our 3rd trip on Qatar will use them again.,Yes,5,4,4,2,2
66,"November 16, 2016",1/10,Economy,Supplied food quantity was very low and did not compensate with any other snack.Ended up the travel with full hunger for almost 13hrs.,No,1,3,3,0,0
67,"November 14, 2016",9/10,Economy,EDITORS COMMENT: There are snacks you just have to ask the flight attendants for them on long haul flights.,Yes,5,4,5,2,2
68,"November 1, 2016",1/10,Economy,"I just flew from Adelaide to Belgrade via Doha. I am compelled to say that I had an exceptionally satisfying experience starting with a preferential treatment when checking the baggage in at Adelaide. Security procedure was smooth, boarding was orderly and efficient, my pre-booked seats were available to me and comfortable enough for the long haul to Doha. The plane’s crew were kind and attentive, relentlessly offering drinks and small snacks. As it was a night flight, the plane environment was silent while most of everyone were sleeping. The flight itself was very pleasant and gave the feeling of safety at all times. My baggage was securely transferred at Doha and easily picked up at Belgrade. The planes were an A350 and an A320. I can select two things of lesser satisfaction: the entertainment system needs considerable upgrade, and the food, although in sufficient quantities, did not look appetizing nor tempting to devour. I will be flying the reciprocal route in a few months time and looking forward to it as a comparison.",No,1,1,2,1,1
69,"October 16, 2016",8/10,Economy,"
EDITORS COMMENT: Great feedback, thanks for sharing.",Yes,4,2,5,3,3
70,"October 5, 2016",1/10,Business,Last decembre me and 6 members went on a 3 week to Africa via Doha.  Several months in advance we registerd in DOHA as a family in the frequent flyer program. that returns you 50% more miles.,No,1,3,2,2,2
71,"October 2, 2016",5/10,Economy,"
1) They have never debit correctly the account on flights in Qatar and British.",No,2,2,3,2,2
72,"September 30, 2016",6/10,Economy,"
2) Our travel agent has lost several trips due the inhability to fix with them",Yes,3,4,4,2,2
73,"September 29, 2016",6/10,Economy,"
3) They gave our seats on flight 713 1/5/2016 to other customer when we had the boarding passes since one day in advance.  The personnel in charge of boarding were rude until they discovered that all members of the family were already onboard the plane.",Yes,4,5,2,1,1
74,"September 26, 2016",8/10,Economy,"
4) They are negligent and incopetent next time I will never use this Qatar airline",Yes,4,4,5,5,5
