,word_auto,freq_auto
0,dynamic,1
1,facilities,4
2,captain,1
3,saved,1
4,assembled,1
5,increase,6
6,swag,1
7,bike,7
8,lord,1
9,worth,1
10,plants,3
11,cavaliers,1
12,handling,1
13,every,4
14,wagons,4
15,commack,2
16,alpine,2
17,prize,7
18,companies,1
19,piling,2
20,red,8
21,enhance,1
22,heading,1
23,clothes,1
24,carfax,7
25,corvette,7
26,insult,1
27,second,1
28,street,3
29,even,11
30,hate,4
31,revolves,15
32,children,2
33,new,53
34,ever,11
35,told,4
36,zach,5
37,reported,2
38,mex,3
39,kids,6
40,daughter,2
41,study,7
42,proportioned,2
43,reports,4
44,credit,1
45,analysts,2
46,chrysler,25
47,changes,2
48,secure,1
49,brought,2
50,txt,7
51,would,10
52,sustaniability,7
53,dprk,1
54,music,7
55,indiana,2
56,type,1
57,los,8
58,brings,7
59,phone,1
60,teaching,3
61,hold,1
62,must,2
63,springer,1
64,word,1
65,rights,8
66,work,7
67,camry,1
68,estate,1
69,give,2
70,repor,1
71,uaw,1
72,honey,1
73,want,5
74,keep,4
75,end,4
76,hot,7
77,interview,2
78,charging,7
79,believers,1
80,earlier,2
81,imaginable,1
82,wrong,3
83,lay,2
84,president,2
85,law,2
86,royce,15
87,danny,10
88,third,2
89,strt,1
90,toluca,2
91,keeps,1
92,operate,1
93,wind,7
94,operations,1
95,salon,8
96,innovative,1
97,japan,7
98,hauppauge,2
99,bombing,7
100,somewhere,2
101,bringing,1
102,fix,8
103,cla,19
104,better,3
105,production,31
106,hidden,2
107,prius,1
108,cls,2
109,vandalize,6
110,aston,7
111,offroad,1
112,break,1
113,debut,3
114,arrested,8
115,detroit,7
116,feeds,15
117,side,1
118,mean,1
119,series,8
120,crimes,2
121,carry,1
122,milan,1
123,used,20
124,whining,1
125,haired,1
126,diesel,7
127,medicine,2
128,got,3
129,venezuela,1
130,turning,1
131,written,2
132,threatened,1
133,little,12
134,free,8
135,management,1
136,cheers,7
137,grapes,1
138,starts,1
139,machining,13
140,onto,2
141,speeds,1
142,already,6
143,encouraging,2
144,another,7
145,kia,1
146,leaders,1
147,service,1
148,heights,2
149,needed,2
150,tom,2
151,hemijohn,1
152,urban,1
153,took,3
154,somewhat,1
155,target,2
156,aztek,1
157,matter,2
158,guilt,7
159,speaking,2
160,ran,1
161,boston,33
162,torque,8
163,talking,3
164,tells,3
165,relatively,1
166,forced,3
167,wholesome,3
168,sound,1
169,luxury,6
170,forces,2
171,belvidere,1
172,blue,5
173,though,4
174,automaker,3
175,regular,2
176,antitrust,7
177,walkaround,16
178,points,3
179,voting,1
180,came,1
181,saying,2
182,queeg,1
183,retire,14
184,prix,5
185,availability,1
186,fisheye,1
187,unleashes,7
188,adequate,1
189,honda,1
190,stop,9
191,degradation,2
192,boxster,1
193,despite,2
194,runs,7
195,avenger,1
196,unlatch,2
197,covering,1
198,spokesperson,2
199,bag,4
200,bad,1
201,shots,5
202,woodies,1
203,release,4
204,tespect,1
205,automatic,2
206,decided,1
207,best,11
208,said,11
209,capacity,8
210,lots,1
211,away,4
212,afloat,1
213,wikipedia,1
214,mug,1
215,preserve,1
216,terms,8
217,ignorance,1
218,boss,10
219,cut,1
220,namba,8
221,dedication,1
222,news,5
223,convertible,10
224,debt,3
225,improve,1
226,received,4
227,accident,2
228,country,1
229,ill,2
230,swoopy,2
231,stuttgart,2
232,planned,6
233,com,8
234,appeared,8
235,jayp,1
236,three,6
237,quickly,2
238,much,3
239,expected,1
240,duties,1
241,life,4
242,families,1
243,child,2
244,spin,1
245,air,1
246,ugly,4
247,near,8
248,ugliest,1
249,balance,1
250,brake,25
251,damaged,2
252,pathfinder,14
253,things,2
254,make,1
255,jerry,1
256,translogic,7
257,complex,3
258,several,2
259,showing,2
260,omar,1
261,wheel,1
262,pontiac,1
263,workforce,2
264,kit,1
265,kim,3
266,nip,15
267,opportunity,2
268,cycle,5
269,kept,1
270,materials,3
271,monaco,6
272,investments,1
273,joon,1
274,opinions,1
275,solarwatt,7
276,sentence,2
277,identify,2
278,thanks,1
279,yes,1
280,yet,1
281,unique,1
282,hills,8
283,character,8
284,board,3
285,easy,2
286,har,1
287,save,1
288,hat,1
289,gave,2
290,possible,3
291,arab,1
292,designers,1
293,hatchback,8
294,apart,1
295,hunt,2
296,peeves,1
297,security,1
298,right,9
299,old,26
300,deal,8
301,people,13
302,begin,3
303,dead,3
304,captive,1
305,total,2
306,tracked,15
307,comments,9
308,cnn,1
309,stingray,7
310,core,1
311,deleted,1
312,marketing,3
313,illustration,1
314,mediocrity,1
315,post,2
316,manufacturing,5
317,automatically,1
318,ahn,1
319,obscene,1
320,son,2
321,entrepreneur,3
322,carabobo,1
323,communists,1
324,support,9
325,choosecontrol,4
326,class,18
327,joseph,1
328,way,2
329,call,8
330,war,1
331,head,3
332,amateur,3
333,offering,2
334,forming,2
335,forever,1
336,ford,9
337,true,3
338,inside,2
339,attached,2
340,maximum,8
341,devices,3
342,tell,1
343,camaro,8
344,smashed,2
345,passenger,3
346,proud,1
347,liberal,3
348,classic,7
349,proven,1
350,proves,1
351,pentastar,1
352,marxist,1
353,role,1
354,tie,1
355,krison,1
356,brothers,12
357,models,2
358,update,14
359,taurus,7
360,miranda,1
361,weekend,7
362,jacked,1
363,younger,2
364,shootout,3
365,faster,1
366,glass,1
367,santorum,1
368,together,2
369,time,6
370,others,1
371,neighbors,2
372,concept,40
373,managed,1
374,themed,7
375,activated,1
376,eldest,2
377,llc,2
378,mill,1
379,certainly,4
380,suicide,7
381,producing,1
382,laferrari,7
383,compensate,3
384,marks,2
385,henderson,2
386,trouble,1
387,cool,1
388,twinfun,9
389,level,2
390,turns,4
391,dig,1
392,posts,2
393,brother,8
394,leave,3
395,team,2
396,quick,3
397,guy,3
398,round,1
399,democrats,1
400,prevent,1
401,talked,2
402,says,11
403,trend,7
404,measurable,1
405,takeoff,7
406,cargo,2
407,endangering,2
408,constitution,1
409,current,1
410,suspect,1
411,vandalized,7
412,reply,12
413,enthusiast,8
414,ramming,7
415,muslim,3
416,water,7
417,alone,4
418,along,5
419,roaring,3
420,appears,1
421,change,2
422,wait,2
423,boy,7
424,vibrating,1
425,detonate,2
426,boo,2
427,nylon,1
428,teenage,4
429,extra,2
430,merely,1
431,ethiopian,7
432,market,8
433,indicated,2
434,working,1
435,terego,1
436,live,4
437,iphone,1
438,today,2
439,teased,1
440,leeches,1
441,teaser,2
442,teases,6
443,rigid,1
444,rssfeed,7
445,tokyo,8
446,car,44
447,originally,9
448,overloaded,5
449,garberding,1
450,sour,2
451,values,1
452,cam,1
453,growing,1
454,woefully,1
455,heart,1
456,awesome,1
457,lordy,1
458,topic,1
459,heard,2
460,unveiled,3
461,counting,1
462,requirements,1
463,bankrupt,2
464,rubio,1
465,economy,1
466,map,2
467,product,1
468,mar,8
469,escalate,3
470,clone,1
471,aol,17
472,southern,2
473,islamic,2
474,produce,1
475,designed,3
476,revealed,7
477,grow,1
478,man,1
479,supersonic,7
480,joint,2
481,maybe,2
482,truck,9
483,tall,7
484,typical,2
485,tagged,2
486,wishing,1
487,years,15
488,ended,1
489,coli,7
490,cold,1
491,still,3
492,group,7
493,gti,7
494,amazing,8
495,offers,7
496,mail,1
497,views,3
498,answer,1
499,transmissions,4
500,nov,8
501,wagon,8
502,term,6
503,name,3
504,corolla,1
505,establishing,1
506,entirely,2
507,quarter,2
508,fired,2
509,yeah,1
510,happen,1
511,intended,1
512,living,1
513,profit,1
514,tensions,3
515,factory,3
516,looking,1
517,seriously,1
518,formula,9
519,receiving,3
520,shows,8
521,monster,1
522,cars,29
523,million,25
524,possibility,3
525,quite,2
526,org,1
527,card,1
528,care,1
529,programming,1
530,chevy,9
531,thing,16
532,gordon,2
533,sho,7
534,think,7
535,waited,1
536,first,14
537,fleeing,6
538,one,17
539,reopen,2
540,americans,1
541,long,8
542,directly,2
543,vote,4
544,sounds,4
545,drove,2
546,open,3
547,ont,1
548,city,6
549,given,3
550,wrath,1
551,anyone,1
552,iat,1
553,white,1
554,bits,2
555,friend,5
556,alan,3
557,cops,1
558,ridiculous,1
559,specify,1
560,future,4
561,mated,2
562,topics,8
563,argument,1
564,crossover,1
565,say,5
566,foiled,2
567,horsepower,8
568,harley,1
569,saw,5
570,windsor,1
571,marathon,7
572,sat,1
573,nots,1
574,efficient,2
575,equipment,1
576,potential,1
577,take,2
578,performance,11
579,ironically,1
580,sure,4
581,multiple,2
582,track,12
583,price,7
584,paid,2
585,falls,2
586,america,3
587,cuban,7
588,democratic,1
589,egg,3
590,later,7
591,drive,9
592,ways,3
593,ferrari,7
594,senior,1
595,cobra,7
596,shot,4
597,show,18
598,ground,1
599,mbrace,31
600,upgrade,4
601,treasure,2
602,enough,3
603,going,3
604,equipped,4
605,outrage,1
606,carolina,1
607,theblackporsche,1
608,fiysler,1
609,get,18
610,hostage,2
611,replaces,1
612,nearly,3
613,auburn,1
614,morning,1
615,predicted,2
616,wiki,1
617,burst,1
618,hwankim,1
619,seat,2
620,relative,2
621,fellas,1
622,suspects,7
623,bicyclist,7
624,federal,2
625,behind,6
626,andreplace,1
627,reading,5
628,jobs,1
629,august,1
630,parent,1
631,killing,1
632,tooling,1
633,article,3
634,come,2
635,installation,2
636,tuck,15
637,many,1
638,nomenclature,1
639,pvkdfequcay,1
640,expression,1
641,comes,1
642,nearby,4
643,fulfills,2
644,color,1
645,twin,10
646,perpetuating,1
647,considering,3
648,west,1
649,porsche,25
650,airliner,7
651,airlines,7
652,coupe,7
653,dictator,1
654,combined,8
655,engine,11
656,bmw,22
657,case,3
658,renault,28
659,ongoing,2
660,scum,1
661,situation,4
662,shops,1
663,spotlight,2
664,vest,2
665,according,2
666,someone,2
667,technology,9
668,different,1
669,missiles,1
670,develop,1
671,april,10
672,pay,18
673,reminded,1
674,surveillance,2
675,gentlemen,1
676,ceo,6
677,html,1
678,vandalism,2
679,events,2
680,sterling,2
681,jeffrey,8
682,driver,21
683,director,1
684,changing,1
685,totally,1
686,tracking,4
687,without,1
688,demean,1
689,justify,1
690,taxi,7
691,morons,1
692,money,3
693,relevant,1
694,touch,1
695,speed,24
696,announcement,1
697,bluetec,1
698,clueless,1
699,thinking,4
700,seems,2
701,blog,2
702,lets,1
703,jong,2
704,ross,8
705,real,8
706,psi,7
707,around,24
708,kills,1
709,read,5
710,cayman,22
711,amg,4
712,dart,5
713,early,1
714,huffpost,1
715,traffic,7
716,mom,6
717,using,13
718,nissan,16
719,nose,1
720,fully,1
721,beverly,7
722,bankruptcies,1
723,madrid,3
724,images,1
725,stagecoach,7
726,geely,7
727,confirm,1
728,legal,7
729,conservative,1
730,critical,1
731,assembly,4
732,business,1
733,communicate,1
734,volkswagen,7
735,leadership,1
736,ratios,1
737,overbite,1
738,refers,1
739,went,4
740,package,1
741,jeep,12
742,island,2
743,industry,2
744,neighbor,2
745,bond,3
746,road,8
747,quietly,7
748,skilled,1
749,dtugg,2
750,area,1
751,racism,2
752,lol,1
753,start,3
754,italia,7
755,lot,4
756,bubble,1
757,billion,2
758,mischief,2
759,complete,1
760,jun,1
761,mich,4
762,antiquated,1
763,trying,1
764,buying,1
765,handsome,1
766,pull,1
767,hire,1
768,tipton,1
769,rage,7
770,drills,2
771,emissions,7
772,pulp,7
773,wants,1
774,vehicles,3
775,videos,3
776,watches,1
777,general,7
778,daily,3
779,formulation,1
780,casualty,2
781,drivers,1
782,hybrid,14
783,holiefield,1
784,slant,1
785,important,1
786,coverage,17
787,chris,7
788,tamerlan,5
789,applause,1
790,invest,2
791,restricted,6
792,alright,1
793,original,2
794,chinese,11
795,month,1
796,commute,1
797,welfare,2
798,talks,2
799,sung,1
800,spain,1
801,mpg,7
802,woman,2
803,returning,1
804,mph,1
805,worst,2
806,surprise,1
807,faa,7
808,crossovers,1
809,list,16
810,swirling,1
811,saudi,1
812,small,3
813,becker,11
814,streets,3
815,past,1
816,zero,1
817,design,20
818,hich,1
819,investment,15
820,investing,8
821,sun,7
822,section,1
823,brief,2
824,suv,3
825,version,10
826,tribute,7
827,racing,1
828,guns,2
829,iran,1
830,installations,1
831,supposedly,1
832,hours,64
833,iraq,1
834,fwd,1
835,experience,1
836,prior,1
837,amount,2
838,advertising,2
839,followed,1
840,put,9
841,aimed,1
842,toys,2
843,armed,2
844,select,7
845,takes,1
846,revelation,1
847,two,20
848,converters,7
849,turbo,1
850,israel,1
851,door,6
852,knows,2
853,company,8
854,mozilla,1
855,basically,2
856,factories,6
857,uncool,1
858,glad,1
859,keeping,2
860,gravel,1
861,nine,17
862,den,1
863,abandon,1
864,overwrought,1
865,marble,2
866,history,1
867,beautiful,1
868,shark,1
869,pony,1
870,phrase,1
871,offspring,1
872,information,1
873,rather,1
874,demolition,8
875,american,2
876,earnings,2
877,plant,18
878,gtfo,1
879,plans,1
880,variant,6
881,coming,1
882,susan,4
883,jihadist,1
884,dream,4
885,help,3
886,developed,1
887,soon,3
888,trade,1
889,held,2
890,unimog,7
891,scott,1
892,replies,5
893,hell,1
894,islam,2
895,style,4
896,wishful,1
897,actually,6
898,might,12
899,wrx,8
900,finer,3
901,fool,1
902,good,7
903,somebody,1
904,food,2
905,hackathon,7
906,communities,2
907,speculate,2
908,complain,1
909,bigger,2
910,always,2
911,die,1
912,found,7
913,week,1
914,everyone,2
915,england,1
916,weight,2
917,generation,3
918,hard,1
919,idea,1
920,gun,13
921,beyond,2
922,event,4
923,really,3
924,since,10
925,mulally,3
926,health,1
927,flame,1
928,caucasian,1
929,roofs,2
930,ios,1
931,geared,2
932,base,1
933,members,3
934,straightened,1
935,driven,3
936,acura,1
937,revival,3
938,audacity,1
939,threat,1
940,testament,1
941,feed,5
942,dont,1
943,number,3
944,instances,1
945,done,1
946,fiction,7
947,story,10
948,aveo,1
949,least,5
950,station,5
951,saltillo,1
952,part,1
953,believe,2
954,obama,3
955,king,2
956,kind,4
957,grey,2
958,toward,2
959,jsut,1
960,confirms,7
961,sell,3
962,built,4
963,shelby,7
964,cherokee,7
965,babyboomers,1
966,also,14
967,build,2
968,play,4
969,caliber,1
970,kag,1
971,electric,14
972,plan,5
973,significant,2
974,nothing,3
975,approved,7
976,salary,5
977,dealers,21
978,windows,3
979,veyron,1
980,drachen,1
981,find,7
982,copyright,2
983,idiots,1
984,pretty,3
985,columns,1
986,goes,1
987,meanwhile,2
988,religon,1
989,express,7
990,famous,2
991,theft,2
992,pellet,2
993,surfaced,3
994,common,1
995,crd,1
996,see,40
997,flamers,1
998,close,1
999,torquesteerhater,2
1000,currently,1
1001,please,13
1002,slapped,7
1003,pickup,2
1004,toledo,22
1005,probably,3
1006,available,2
1007,korea,23
1008,recently,8
1009,rover,8
1010,pisses,1
1011,incident,7
1012,alters,5
1013,last,9
1014,license,1
1015,became,1
1016,retarded,1
1017,whole,1
1018,drunk,1
1019,battery,7
1020,recycling,1
1021,church,7
1022,expensive,7
1023,belt,2
1024,duh,1
1025,worthless,1
1026,nominee,1
1027,create,7
1028,political,2
1029,strategy,4
1030,xae,1
1031,flight,9
1032,assorted,1
1033,fire,2
1034,mind,2
1035,gas,2
1036,priced,7
1037,fund,1
1038,tweaked,3
1039,stolen,8
1040,look,2
1041,replaced,1
1042,akerson,24
1043,dzhokhar,5
1044,guide,7
1045,pack,3
1046,motors,7
1047,triple,2
1048,ready,1
1049,rid,2
1050,stye,1
1051,payers,1
1052,fairer,1
1053,funny,1
1054,italy,1
1055,lengths,1
1056,grand,5
1057,arrives,7
1058,islandia,2
1059,negotiate,14
1060,moment,2
1061,walmart,1
1062,arrived,3
1063,purpose,1
1064,unveil,1
1065,forfeited,2
1066,edgy,1
1067,person,1
1068,clears,7
1069,entry,2
1070,spend,1
1071,ousting,1
1072,world,17
1073,cuv,2
1074,retirement,2
1075,workers,13
1076,guaranteed,1
1077,apr,16
1078,kokomo,4
1079,safelite,1
1080,location,1
1081,easter,2
1082,perrysburg,1
1083,surprised,4
1084,doors,5
1085,big,3
1086,couple,1
1087,game,2
1088,bit,2
1089,vests,2
1090,shaped,1
1091,systematically,1
1092,toyota,8
1093,continue,10
1094,popular,2
1095,stylish,3
1096,spins,2
1097,google,6
1098,brakes,1
1099,back,3
1100,extremist,2
1101,accelerate,1
1102,crosstrek,7
1103,modernize,4
1104,hyundais,1
1105,hatchbacks,1
1106,run,3
1107,anything,1
1108,lustworthy,2
1109,god,1
1110,piled,2
1111,range,8
1112,repair,1
1113,osamu,8
1114,garbage,2
1115,terrorists,1
1116,within,1
1117,integral,1
1118,subaru,15
1119,rolls,15
1120,entitlement,1
1121,spending,2
1122,question,4
1123,fast,1
1124,occupy,1
1125,suit,7
1126,forward,1
1127,immigration,1
1128,boys,7
1129,properly,1
1130,getty,2
1131,filed,8
1132,line,3
1133,posted,9
1134,originals,1
1135,planet,2
1136,mobile,1
1137,similar,4
1138,called,2
1139,soars,7
1140,gunpoint,1
1141,peace,1
1142,department,1
1143,nice,1
1144,wmds,1
1145,evar,1
1146,helping,6
1147,drag,7
1148,vice,2
1149,age,2
1150,required,2
1151,youtube,1
1152,everywhere,7
1153,jason,1
1154,existing,1
1155,intricate,7
1156,wagener,4
1157,detects,1
1158,concerned,2
1159,shanghai,7
1160,mosque,1
1161,young,1
1162,send,1
1163,suits,1
1164,helps,1
1165,hennessey,7
1166,friendly,2
1167,automotive,2
1168,drinking,1
1169,continued,7
1170,wipe,1
1171,transmission,14
1172,michael,1
1173,race,8
1174,evs,7
1175,trailhawk,1
1176,demonstrations,1
1177,jump,2
1178,video,77
1179,weblogsinc,7
1180,twine,1
1181,power,1
1182,access,1
1183,led,2
1184,commercial,14
1185,jointly,5
1186,following,1
1187,let,3
1188,making,1
1189,painfully,1
1190,securing,1
1191,larger,3
1192,products,2
1193,derby,8
1194,residents,2
1195,makes,5
1196,firefox,1
1197,spy,3
1198,egypt,1
1199,win,2
1200,app,3
1201,motor,14
1202,tools,2
1203,use,12
1204,paukert,7
1205,next,2
1206,vehicle,4
1207,sort,2
1208,becomes,7
1209,benchmark,1
1210,lifestyle,1
1211,vehcile,1
1212,tunnel,7
1213,ride,4
1214,meet,1
1215,proof,13
1216,reserved,7
1217,lock,1
1218,benz,17
1219,tax,2
1220,high,2
1221,something,4
1222,chevrolet,7
1223,permission,5
1224,chry,1
1225,gcp,1
1226,ferdinand,1
1227,afp,1
1228,stock,6
1229,watch,23
1230,belongings,4
1231,bombers,13
1232,boeing,7
1233,lines,1
1234,improvised,2
1235,minivan,4
1236,martini,3
1237,six,2
1238,produces,2
1239,ladies,1
1240,including,5
1241,looks,7
1242,warren,1
1243,anonymously,7
1244,brood,3
1245,located,1
1246,criminal,2
1247,wooootles,1
1248,koreans,1
1249,greater,1
1250,auto,29
1251,dan,7
1252,practice,2
1253,tattersall,1
1254,front,2
1255,day,2
1256,february,1
1257,countries,6
1258,identified,2
1259,bills,1
1260,thwart,1
1261,chung,1
1262,related,6
1263,society,1
1264,tranny,2
1265,measure,1
1266,special,1
1267,matt,8
1268,sentiment,1
1269,may,15
1270,evacuation,4
1271,supports,2
1272,announced,8
1273,spot,1
1274,hyundai,10
1275,completely,1
1276,york,20
1277,acker,1
1278,steering,2
1279,bowman,4
1280,deprived,2
1281,could,11
1282,times,1
1283,davis,8
1284,strapping,1
1285,south,19
1286,powerful,1
1287,scene,1
1288,owned,1
1289,hey,8
1290,owner,6
1291,quality,1
1292,ancient,1
1293,deceptive,2
1294,privacy,1
1295,festival,8
1296,data,7
1297,system,9
1298,relations,2
1299,attack,2
1300,palestine,1
1301,final,2
1302,evacuated,2
1303,haves,1
1304,enforcement,2
1305,bulldog,1
1306,completed,1
1307,exactly,1
1308,july,1
1309,completes,7
1310,rss,5
1311,compensation,4
1312,steep,2
1313,teenagers,2
1314,unlikely,8
1315,need,1
1316,clearly,2
1317,able,1
1318,mid,3
1319,mix,10
1320,concerns,1
1321,financials,2
1322,grounding,7
1323,korean,13
1324,tsarnaev,11
1325,agenda,1
1326,eight,4
1327,sedan,3
1328,gallery,7
1329,laurens,1
1330,face,2
1331,mechanical,1
1332,ensued,2
1333,fact,2
1334,text,1
1335,supported,1
1336,anyway,1
1337,visualized,7
1338,bring,2
1339,parked,2
1340,pleased,1
1341,partners,7
1342,envy,1
1343,based,1
1344,unfinished,1
1345,cache,1
1346,operational,2
1347,bombings,8
1348,tape,1
1349,fuel,5
1350,dreamliner,7
1351,communist,3
1352,jae,1
1353,local,3
1354,hope,1
1355,meant,1
1356,overall,1
1357,autos,8
1358,ones,1
1359,aforementioned,1
1360,tbd,8
1361,spammers,1
1362,course,1
1363,calling,2
1364,mercedes,58
1365,ohio,2
1366,autoblog,34
1367,futuristic,1
1368,view,2
1369,europe,1
1370,evoque,8
1371,exists,1
1372,national,1
1373,bastardize,1
1374,operated,5
1375,drivin,1
1376,closer,2
1377,biofuel,7
1378,attempting,1
1379,nuclear,1
1380,posse,2
1381,state,1
1382,closed,1
1383,progress,7
1384,email,8
1385,bought,2
1386,ends,7
1387,explosive,2
1388,helicopters,1
1389,however,2
1390,job,1
1391,police,23
1392,weary,1
1393,commenting,1
1394,diligent,2
1395,taking,5
1396,minds,1
1397,followup,8
1398,etc,2
1399,bachmann,1
1400,interesting,1
1401,glorious,2
1402,otherwise,2
1403,comment,18
1404,unclear,2
1405,wtf,1
1406,gone,1
1407,tuesday,1
1408,laugh,1
1409,tread,2
1410,addition,2
1411,liberals,2
1412,agreements,1
1413,hmm,1
1414,finished,6
1415,present,1
1416,homes,1
1417,laser,1
1418,dodge,18
1419,pending,7
1420,dad,7
1421,almost,1
1422,site,1
1423,arabia,1
1424,terrorist,1
1425,generic,1
1426,began,1
1427,cross,1
1428,film,1
1429,units,6
1430,party,1
1431,android,1
1432,gets,17
1433,http,8
1434,upon,2
1435,whale,1
1436,steals,7
1437,well,9
1438,thought,5
1439,supercharged,7
1440,position,1
1441,latest,11
1442,arming,2
1443,less,1
1444,proximity,1
1445,executive,5
1446,skill,1
1447,point,2
1448,sky,2
1449,capabilities,1
1450,realize,3
1451,goodwood,1
1452,attractive,1
1453,government,9
1454,five,1
1455,know,8
1456,press,4
1457,immediately,2
1458,racists,1
1459,necessary,2
1460,like,44
1461,martin,7
1462,works,4
1463,replacement,1
1464,amendment,1
1465,hair,1
1466,home,2
1467,est,8
1468,pinpoint,1
1469,esp,1
1470,avoid,7
1471,passion,1
1472,forbid,1
1473,debuts,7
1474,locate,1
1475,noise,2
1476,murdered,1
1477,speeders,2
1478,although,1
1479,stage,2
1480,actual,2
1481,getting,19
1482,column,1
1483,universe,1
1484,angeles,8
1485,introduced,4
1486,executives,1
1487,previously,2
1488,commitment,1
1489,van,1
1490,additional,2
1491,awarded,2
1492,function,1
1493,buy,2
1494,north,15
1495,brand,1
1496,made,3
1497,wise,1
1498,converter,1
1499,whether,1
1500,official,1
1501,signed,1
1502,placed,2
1503,minutes,9
1504,penny,1
1505,scumbags,1
1506,ind,5
1507,shooting,29
1508,inc,7
1509,rumors,3
1510,packs,7
1511,percent,2
1512,details,3
1513,junk,1
1514,june,2
1515,chance,2
1516,kinda,1
1517,tailgate,1
1518,ghost,15
1519,carjacked,2
1520,rule,1
1521,compete,8
1522,paired,1
