Source,Target,Type,id,label,timeset,weight
JACC_90,ecartelera,Directed,0,,,1.0
dmcaputo,kelly_clarkson,Directed,1,,,1.0
dmcaputo,GalGadot,Directed,2,,,1.0
shashashasha,JoRoan,Directed,3,,,1.0
shashashasha,shashashasha,Directed,4,,,1.0
shashashasha,eeeeenid,Directed,5,,,1.0
shashashasha,xuhulk,Directed,6,,,1.0
shashashasha,tealtan,Directed,7,,,1.0
VinceRemoTwit,annabellemovie,Directed,8,,,1.0
LIONPON3,Kanerudo66,Directed,9,,,1.0
depepi,TheMarySue,Directed,10,,,1.0
depepi,marstonmovie,Directed,11,,,1.0
rock1er,Variety,Directed,12,,,1.0
rock1er,KellyClarkson,Directed,13,,,1.0
evelyn_kunze,Variety,Directed,14,,,2.0
evelyn_kunze,KellyClarkson,Directed,15,,,2.0
EMMAnimation,thisisbenoliver,Directed,16,,,1.0
s_oldham,Variety,Directed,17,,,1.0
s_oldham,KellyClarkson,Directed,18,,,1.0
TimeOfHollywood,Variety,Directed,19,,,3.0
TimeOfHollywood,KellyClarkson,Directed,20,,,1.0
Xaychii,ken_koy,Directed,21,,,1.0
Rfourone,WarriorDiana1,Directed,22,,,1.0
jenyy_16,bloominflowerss,Directed,23,,,1.0
Ingridcoley,SJavi12,Directed,24,,,1.0
Cakesugartaste,Littleponyloves,Directed,27,,,1.0
Cakesugartaste,MLPMovie,Directed,28,,,1.0
Cakesugartaste,AndreaLibman,Directed,29,,,1.0
Cakesugartaste,tarastrong,Directed,30,,,1.0
Cakesugartaste,ash_leigh_ball,Directed,31,,,1.0
Cakesugartaste,StTabitha,Directed,32,,,1.0
Cakesugartaste,CathyWeseluck,Directed,33,,,1.0
NatClaire190,Variety,Directed,34,,,1.0
NatClaire190,KellyClarkson,Directed,35,,,1.0
mollyjoy10,AlertBot,Directed,36,,,1.0
mollyjoy10,WonderWomanFilm,Directed,37,,,1.0
mollyjoy10,RokuPlayer,Directed,38,,,1.0
JoyHeeb,F13thFranchise,Directed,39,,,1.0
rebeccaalpert1,Variety,Directed,40,,,1.0
rebeccaalpert1,KellyClarkson,Directed,41,,,1.0
clarksonrulez,Variety,Directed,42,,,2.0
clarksonrulez,KellyClarkson,Directed,43,,,2.0
TVSHOWCLIPS,AmazonVideo,Directed,44,,,1.0
riverdlinson,WarnerBrosUK,Directed,45,,,1.0
wonderyonce,Variety,Directed,46,,,1.0
wonderyonce,KellyClarkson,Directed,47,,,1.0
Neel_Madtings,Variety,Directed,48,,,1.0
Neel_Madtings,KellyClarkson,Directed,49,,,1.0
in_aha,Gartenbaukino,Directed,52,,,1.0
MummyFever,wonderwoman,Directed,53,,,1.0
WonderMorri,20thCFox_FR,Directed,54,,,3.0
KathyA11,Variety,Directed,56,,,1.0
KathyA11,KellyClarkson,Directed,57,,,1.0
jacoblyon55,ParkwayBeverley,Directed,58,,,1.0
jacoblyon55,FlemingateBev,Directed,59,,,1.0
BiebyssArianaaa,Variety,Directed,60,,,1.0
BiebyssArianaaa,KellyClarkson,Directed,61,,,1.0
AMarriedAgent,KingsmanMovie,Directed,62,,,1.0
illusionsfacade,DaveOFlanagan,Directed,63,,,1.0
FittenRicardo,annabellemovie,Directed,64,,,1.0
Cakelette_,tiltbrush,Directed,65,,,1.0
iBalusa,BANGShowbiz,Directed,66,,,1.0
benjancewicz,JoRoan,Directed,67,,,1.0
benjancewicz,shashashasha,Directed,68,,,1.0
benjancewicz,eeeeenid,Directed,69,,,1.0
benjancewicz,xuhulk,Directed,70,,,1.0
benjancewicz,tealtan,Directed,71,,,1.0
ktruequeen,space_nearby,Directed,72,,,1.0
Jess_Wise3,ninadobrev,Directed,73,,,1.0
BuffGeekPodcast,The_GWW,Directed,74,,,1.0
BuffGeekPodcast,wehaveahulkpod,Directed,75,,,1.0
BuffGeekPodcast,startrekcbs,Directed,76,,,1.0
BuffGeekPodcast,TheOrville,Directed,77,,,1.0
laclark2002,RegalMovies,Directed,78,,,1.0
laclark2002,IMAX,Directed,79,,,1.0
ideas_micky,ideas_micky,Directed,80,,,8.0
NimbleGlance,Kanerudo66,Directed,81,,,1.0
loisjoannelanes,Variety,Directed,83,,,1.0
loisjoannelanes,KellyClarkson,Directed,84,,,1.0
ejrtairne,JoRoan,Directed,85,,,1.0
ejrtairne,shashashasha,Directed,86,,,1.0
ejrtairne,eeeeenid,Directed,87,,,1.0
ejrtairne,xuhulk,Directed,88,,,1.0
ejrtairne,tealtan,Directed,89,,,1.0
lunarphillester,SpiderManMovie,Directed,91,,,1.0
Walnoem,20thCFox_FR,Directed,92,,,2.0
TheRoot,MarstonMovie,Directed,94,,,1.0
TheRoot,RobinsonAngela,Directed,95,,,1.0
falcon1282,BatmanNewsCom,Directed,96,,,1.0
superboykent007,Variety,Directed,97,,,1.0
superboykent007,KellyClarkson,Directed,98,,,1.0
silviarocha18,20CenturyFoxUK,Directed,100,,,1.0
silviarocha18,Variety,Directed,101,,,1.0
silviarocha18,netflix,Directed,102,,,1.0
AgentIgraine,StatesmanAgent,Directed,103,,,1.0
NicolesChoice1,JohnnieBowers47,Directed,105,,,1.0
NicolesChoice1,ShowPlaceICON,Directed,106,,,1.0
NicolesChoice1,wbpictures,Directed,107,,,1.0
NicolesChoice1,NicolesChoice1,Directed,108,,,1.0
NicolesChoice1,DwilightF,Directed,109,,,1.0
fetishwilk,WarnerBrosUK,Directed,110,,,1.0
curledbananas8,WarnerBrosUK,Directed,113,,,1.0
ayeshakfaines,TheRoot,Directed,115,,,1.0
ayeshakfaines,MarstonMovie,Directed,116,,,1.0
ayeshakfaines,RobinsonAngela,Directed,117,,,1.0
Cest_m0i,sonypictures_es,Directed,118,,,1.0
DespicableMe,ByEmilyStephens,Directed,119,,,1.0
SiriboeSquad,girlstripmovie,Directed,120,,,1.0
TheLennoXFiles,Variety,Directed,121,,,2.0
TheLennoXFiles,KellyClarkson,Directed,122,,,2.0
isbanshwee,GalGadotBRA,Directed,123,,,1.0
MusicBoxHR,bladerunner,Directed,124,,,1.0
zulunationman,Twaddles_24,Directed,125,,,1.0
yamina_g,20thCFox_FR,Directed,126,,,2.0
Johnleblog,mariusserra,Directed,128,,,1.0
trotterpower,RyanJL,Directed,129,,,1.0
trotterpower,kelly_clarkson,Directed,130,,,1.0
AMiraclePath,ExaultedLove,Directed,131,,,1.0
gleescovers,WarnerBrosUK,Directed,132,,,1.0
armgra,ortyzapple,Directed,133,,,1.0
cyberrpunks,bladerunner,Directed,134,,,1.0
element2909,Google,Directed,135,,,1.0
VCA1979,sonypictures_es,Directed,136,,,1.0
ImJustOneLiar,Variety,Directed,137,,,1.0
ImJustOneLiar,KellyClarkson,Directed,138,,,1.0
thinker_foreign,Variety,Directed,139,,,2.0
thinker_foreign,KellyClarkson,Directed,140,,,1.0
ga_filmlawyer,boxofficemojo,Directed,141,,,1.0
ga_filmlawyer,BladeRunner,Directed,142,,,1.0
ga_filmlawyer,MountainBetween,Directed,143,,,1.0
BronyRetweets,element2909,Directed,144,,,1.0
BronyRetweets,Google,Directed,145,,,1.0
ilaiza_perez,Variety,Directed,146,,,1.0
ilaiza_perez,KellyClarkson,Directed,147,,,1.0
TracyYOliver,Variety,Directed,148,,,1.0
Discrete_sc,Variety,Directed,149,,,1.0
SuperKetu,JoRoan,Directed,150,,,1.0
SuperKetu,shashashasha,Directed,151,,,1.0
SuperKetu,eeeeenid,Directed,152,,,1.0
SuperKetu,xuhulk,Directed,153,,,1.0
SuperKetu,tealtan,Directed,154,,,1.0
_Mvxwell_,bladerunner,Directed,155,,,1.0
nikroybal,Variety,Directed,156,,,1.0
nikroybal,KellyClarkson,Directed,157,,,1.0
Salam_Rhoya,ThatFenty_,Directed,158,,,1.0
GastonGrimsdyke,DaveOFlanagan,Directed,159,,,1.0
BotOfDerpy,BronyMate,Directed,160,,,1.0
breakneckfilms,glasgowfilm,Directed,161,,,1.0
EMZTRadio,3geekspodcast,Directed,162,,,1.0
EMZTRadio,YouTube,Directed,163,,,1.0
EMZTRadio,MikeMcGTV,Directed,164,,,1.0
TheNoirZone,AnnLaabs,Directed,165,,,1.0
lizziescrown,WarnerBrosUK,Directed,166,,,1.0
mratomicboomb,Variety,Directed,167,,,1.0
mratomicboomb,KellyClarkson,Directed,168,,,1.0
WillianClaraTV,boxofficemojo,Directed,169,,,1.0
WillianClaraTV,BladeRunner,Directed,170,,,1.0
WillianClaraTV,MountainBetween,Directed,171,,,1.0
juanroyoabenia,LigaJusticia_ES,Directed,172,,,1.0
Fslcox,bladerunner,Directed,173,,,1.0
kapooksavemoney,moviesmusic_th,Directed,174,,,1.0
Love_My_Canada,ABC7,Directed,175,,,1.0
QuinzelDra,Variety,Directed,176,,,1.0
QuinzelDra,GalGadot,Directed,177,,,1.0
QuinzelDra,lifetimetv,Directed,178,,,1.0
WonderWomanDany,Variety,Directed,179,,,1.0
WonderWomanDany,KellyClarkson,Directed,180,,,1.0
22joujou,Variety,Directed,183,,,1.0
22joujou,KellyClarkson,Directed,184,,,1.0
nartobia,WarnerBrosUK,Directed,185,,,1.0
fedeecoro95,ElGeekSinNombre,Directed,186,,,1.0
r_drown,LovingVincent,Directed,187,,,1.0
TheMelFarley,goodyk,Directed,188,,,1.0
TheMelFarley,USATODAY,Directed,189,,,1.0
SeanEssary,SamuelLJackson,Directed,190,,,1.0
noteyousend,WarnerBrosUK,Directed,191,,,1.0
cheeseamberger,TracyYOliver,Directed,192,,,1.0
cheeseamberger,Variety,Directed,193,,,1.0
Nate09150009,SpiderManMovie,Directed,194,,,1.0
Jay_3085,Variety,Directed,195,,,1.0
Jay_3085,KellyClarkson,Directed,196,,,1.0
szilviade_,pinausagi,Directed,197,,,1.0
HerecomesRow,WarnerBrosUK,Directed,198,,,1.0
krummy09,Variety,Directed,199,,,1.0
krummy09,KellyClarkson,Directed,200,,,1.0
ella_ramosr,WarnerBrosUK,Directed,201,,,1.0
fincherism,BatmanMeer1989,Directed,202,,,1.0
fincherism,GeekPride5,Directed,203,,,1.0
fincherism,SunflowerJD,Directed,204,,,1.0
fincherism,lil_harmonizer,Directed,205,,,1.0
fincherism,YeagerKristel,Directed,206,,,1.0
amit_pande,mariachong,Directed,207,,,1.0
FunSizedFarley,goodyk,Directed,208,,,1.0
FunSizedFarley,USATODAY,Directed,209,,,1.0
markfparis,Variety,Directed,210,,,2.0
markfparis,GalGadot,Directed,211,,,1.0
markfparis,lifetimetv,Directed,212,,,1.0
valkyrierisen,TheRoot,Directed,213,,,1.0
valkyrierisen,MarstonMovie,Directed,214,,,1.0
valkyrierisen,RobinsonAngela,Directed,215,,,1.0
TOMhollic,SpiderManMovie,Directed,216,,,1.0
element2909,secretfrenchfry,Directed,217,,,1.0
reneyrodriguez,radioalterna75,Directed,218,,,1.0
reissim,20thCFox_FR,Directed,219,,,2.0
oxymoron_92,WarnerBrosUK,Directed,221,,,1.0
princeclarkey,princeclarkey,Directed,222,,,1.0
marstonmovie,TheRoot,Directed,223,,,1.0
marstonmovie,MarstonMovie,Directed,224,,,1.0
marstonmovie,RobinsonAngela,Directed,225,,,1.0
karospiderchan,_udemia,Directed,226,,,1.0
lexluthoz,TheRoot,Directed,227,,,1.0
lexluthoz,MarstonMovie,Directed,228,,,1.0
lexluthoz,RobinsonAngela,Directed,229,,,1.0
pamelaivys,Variety,Directed,230,,,1.0
pamelaivys,KellyClarkson,Directed,231,,,1.0
heyychelsayy,Variety,Directed,232,,,1.0
heyychelsayy,KellyClarkson,Directed,233,,,1.0
BronyRetweets,TakaraPOV,Directed,234,,,1.0
OrigemJustica,dyegodimitri,Directed,235,,,1.0
tladyinthetower,WarnerBrosUK,Directed,236,,,1.0
galgadotx,Variety,Directed,237,,,2.0
galgadotx,KellyClarkson,Directed,238,,,2.0
HollywoodInToto,THR,Directed,239,,,1.0
KamTechnolyog,MarkMahon,Directed,240,,,1.0
jenlindner,TheRoot,Directed,241,,,1.0
jenlindner,MarstonMovie,Directed,242,,,1.0
jenlindner,RobinsonAngela,Directed,243,,,1.0
maplewhite1912,WarnerBrosUK,Directed,244,,,1.0
SheaVanderpoort,TracyYOliver,Directed,245,,,1.0
SheaVanderpoort,Variety,Directed,246,,,1.0
kohzy,JoRoan,Directed,247,,,1.0
kohzy,shashashasha,Directed,248,,,1.0
kohzy,eeeeenid,Directed,249,,,1.0
kohzy,xuhulk,Directed,250,,,1.0
kohzy,tealtan,Directed,251,,,1.0
crisxluh,WarnerBrosUK,Directed,252,,,1.0
crisxluh,empiremagazine,Directed,255,,,1.0
Maribelula,RutaporMx,Directed,256,,,1.0
Sar380,20thCFox_FR,Directed,257,,,2.0
PhantomX1313,DCFilmaniacos,Directed,259,,,2.0
WonderMorri,Hedihamadache,Directed,260,,,1.0
Sophie755339261,Variety,Directed,262,,,1.0
Sophie755339261,KellyClarkson,Directed,263,,,1.0
Kimoh559,highclasskate,Directed,264,,,1.0
Variety,GalGadot,Directed,265,,,1.0
Variety,PattyJenks,Directed,266,,,1.0
Variety,lifetimetv,Directed,267,,,1.0
ViralHadesVEVO,EmojiMovie,Directed,268,,,1.0
um_SOCIALmedia8,TomCruise,Directed,269,,,1.0
NewLine_Cinema,annabellemovie,Directed,270,,,2.0
HayatoRodry,DCFilmaniacos,Directed,271,,,1.0
yalikejazzzzzzz,EmojiMovie,Directed,272,,,1.0
global_glimpse,Variety,Directed,273,,,2.0
global_glimpse,GalGadot,Directed,274,,,1.0
global_glimpse,PattyJenks,Directed,275,,,1.0
global_glimpse,lifetimetv,Directed,276,,,1.0
reygonjinn,Variety,Directed,277,,,1.0
reygonjinn,GalGadot,Directed,278,,,1.0
reygonjinn,PattyJenks,Directed,279,,,1.0
reygonjinn,lifetimetv,Directed,280,,,1.0
TRCdocumentary,GenesisCinema,Directed,281,,,1.0
paologabi,GalGadot,Directed,282,,,1.0
Pat2_p,WarnerBrosUK,Directed,284,,,1.0
kevinsampson,picturelockshow,Directed,285,,,1.0
kevinsampson,TheMrRichard,Directed,286,,,1.0
Dan_plee,TiffanyHaddish,Directed,287,,,1.0
AmeliBalzac1,Variety,Directed,288,,,1.0
AmeliBalzac1,GalGadot,Directed,289,,,1.0
AmeliBalzac1,PattyJenks,Directed,290,,,1.0
AmeliBalzac1,lifetimetv,Directed,291,,,1.0
KarenNuezGuerr1,WeLoveBarbieIG,Directed,292,,,1.0
KarenNuezGuerr1,barbaraig,Directed,293,,,1.0
zombietardis,thisisbenoliver,Directed,294,,,1.0
byhypedd,Variety,Directed,295,,,1.0
byhypedd,GalGadot,Directed,296,,,1.0
byhypedd,PattyJenks,Directed,297,,,1.0
byhypedd,lifetimetv,Directed,298,,,1.0
ezrasfIash,Variety,Directed,299,,,1.0
ezrasfIash,GalGadot,Directed,300,,,1.0
ezrasfIash,PattyJenks,Directed,301,,,1.0
ezrasfIash,lifetimetv,Directed,302,,,1.0
Love_My_Canada,NPR,Directed,303,,,1.0
SupesBatsy,Variety,Directed,304,,,1.0
SupesBatsy,GalGadot,Directed,305,,,1.0
SupesBatsy,PattyJenks,Directed,306,,,1.0
SupesBatsy,lifetimetv,Directed,307,,,1.0
JerrellZod2,Variety,Directed,308,,,1.0
JerrellZod2,GalGadot,Directed,309,,,1.0
JerrellZod2,PattyJenks,Directed,310,,,1.0
JerrellZod2,lifetimetv,Directed,311,,,1.0
Zarrwahhxx,WarnerBrosUK,Directed,312,,,1.0
Nonsenseman,Variety,Directed,313,,,2.0
Nonsenseman,GalGadot,Directed,314,,,1.0
Nonsenseman,PattyJenks,Directed,315,,,1.0
Nonsenseman,lifetimetv,Directed,316,,,1.0
tojikki21,Kanerudo66,Directed,317,,,1.0
Algorithmic_Ef,davegrey,Directed,318,,,1.0
Julioct99,_Felipero_fts,Directed,319,,,1.0
WonderfulCelebs,Variety,Directed,321,,,1.0
WonderfulCelebs,GalGadot,Directed,322,,,1.0
WonderfulCelebs,PattyJenks,Directed,323,,,1.0
WonderfulCelebs,lifetimetv,Directed,324,,,1.0
fatimix_gosling,bladerunner,Directed,325,,,1.0
TheLoneWolf68,ObnoxAnonymous,Directed,326,,,1.0
BOUNTYHUNTER660,F13thFranchise,Directed,327,,,1.0
thefIyingfox,Variety,Directed,328,,,1.0
thefIyingfox,GalGadot,Directed,329,,,1.0
thefIyingfox,PattyJenks,Directed,330,,,1.0
thefIyingfox,lifetimetv,Directed,331,,,1.0
khaleegis,Variety,Directed,332,,,1.0
khaleegis,GalGadot,Directed,333,,,1.0
khaleegis,PattyJenks,Directed,334,,,1.0
khaleegis,lifetimetv,Directed,335,,,1.0
MekareMadness,Variety,Directed,336,,,1.0
MekareMadness,GalGadot,Directed,337,,,1.0
MekareMadness,PattyJenks,Directed,338,,,1.0
MekareMadness,lifetimetv,Directed,339,,,1.0
claruchi,Variety,Directed,340,,,2.0
claruchi,KellyClarkson,Directed,341,,,2.0
Hoze7,1HombreSnPiedad,Directed,342,,,1.0
DespicableMe,DawnNeufeld,Directed,343,,,1.0
oriolripoll,Johnleblog,Directed,344,,,1.0
oriolripoll,mariusserra,Directed,345,,,1.0
PictureLockKids,picturelockshow,Directed,346,,,1.0
PictureLockKids,TheMrRichard,Directed,347,,,1.0
DaveFlanagan67,PattyJenks,Directed,348,,,1.0
JaredA1234,EmojiMovie,Directed,349,,,1.0
hericanegraciex,WarnerBrosUK,Directed,350,,,1.0
SirMoscas,pipevicioso,Directed,351,,,2.0
markfparis,DeaLawrence1,Directed,352,,,1.0
lyric__m,WarnerBrosUK,Directed,354,,,1.0
verybatwoman,Variety,Directed,356,,,1.0
verybatwoman,GalGadot,Directed,357,,,1.0
verybatwoman,PattyJenks,Directed,358,,,1.0
verybatwoman,lifetimetv,Directed,359,,,1.0
lyric__m,mr_sjpatterson,Directed,360,,,1.0
lyric__m,IndieWire,Directed,361,,,1.0
SirMoscas,CuartaParedCine,Directed,362,,,1.0
SirMoscas,JorahElAndalo,Directed,363,,,1.0
Pippi_Dust,coachforward,Directed,364,,,1.0
world_dang,foxsingapore,Directed,365,,,1.0
Simone69181777,IMAX,Directed,366,,,1.0
Variety,LifetimeTV,Directed,367,,,1.0
nuriastweets,Johnleblog,Directed,368,,,1.0
nuriastweets,mariusserra,Directed,369,,,1.0
poison_candyy,Variety,Directed,370,,,1.0
poison_candyy,KellyClarkson,Directed,371,,,1.0
jamilemon,pipevicioso,Directed,372,,,1.0
earendilstar,Variety,Directed,373,,,2.0
earendilstar,GalGadot,Directed,374,,,1.0
earendilstar,PattyJenks,Directed,375,,,1.0
earendilstar,lifetimetv,Directed,376,,,1.0
rayofciccone,Variety,Directed,377,,,1.0
rayofciccone,KellyClarkson,Directed,378,,,1.0
GalGadotBRA,Variety,Directed,379,,,2.0
GalGadotBRA,GalGadot,Directed,380,,,1.0
GalGadotBRA,PattyJenks,Directed,381,,,1.0
GalGadotBRA,lifetimetv,Directed,382,,,1.0
global_glimpse,LifetimeTV,Directed,384,,,1.0
StargatePioneer,PopCultureCosmo,Directed,385,,,1.0
kev_doble,wshed,Directed,386,,,1.0
earendilstar,LifetimeTV,Directed,388,,,1.0
TimHandley4,DaveOFlanagan,Directed,389,,,1.0
diianaaprince,Variety,Directed,390,,,1.0
diianaaprince,GalGadot,Directed,391,,,1.0
diianaaprince,PattyJenks,Directed,392,,,1.0
diianaaprince,lifetimetv,Directed,393,,,1.0
Carlos7Islas,barbaraig,Directed,394,,,1.0
UniversoDCnauta,Variety,Directed,395,,,2.0
UniversoDCnauta,LifetimeTV,Directed,396,,,1.0
d789s101112,OldKanStudios,Directed,397,,,1.0
jemandboo63,Variety,Directed,398,,,1.0
jemandboo63,LifetimeTV,Directed,399,,,1.0
HamiltonLeaetta,Variety,Directed,400,,,1.0
HamiltonLeaetta,LifetimeTV,Directed,401,,,1.0
JoshX1993,Disney,Directed,402,,,1.0
JoshX1993,BridgetCarey,Directed,403,,,1.0
JoshX1993,CNET,Directed,404,,,1.0
RekoMnd,pencilphilos,Directed,405,,,1.0
phoeebtonkin,Variety,Directed,406,,,1.0
phoeebtonkin,GalGadot,Directed,407,,,1.0
phoeebtonkin,PattyJenks,Directed,408,,,1.0
phoeebtonkin,lifetimetv,Directed,409,,,1.0
quantum_pa,davegrey,Directed,410,,,1.0
19skid97,primemeridian_,Directed,411,,,1.0
Navinpraveen93,Variety,Directed,412,,,1.0
